Is_Default,Port,Handling Agent,Contact Person,Agent Contact,Agent Frequency,GPU,Fuel,Notes,Additional Agent Contact,Agent Email,Agent Email2,Agent Email3,Agent Email4,Agent Email5,Agent Email6
TRUE,ALR,Nigel Foresster,-,027 434 8184,N/A,Not Available,"Available, Bowser that will need to be positioned next to A/C",,,,,,,,
,AKL (ACO),Execujet Auckland,Kim Powell,09 275 7167,131.700,Available,Air BP - 021 767 706 / 133.900,,,fbo.nzaa@execujet.com,,,,,
TRUE,AKL (ACL),Air Chathams,Flight Operations,021 580 221,133.775,Available,Air BP - 021 767 706 / 133.900,,,flightoperations@airchathams.co.nz,,,,,
TRUE,BHE,Tangi Macdonald,-,021 606 526,-,Available,Air BP Jet A1 into plane Tel (03) 572 9174,,,tangiandcheryl@gmail.com,,,,,
TRUE,CHT,Air Chathams,-,03 305 0388,133.775,Available,Air Chathams Fuel Truck,,,office@airchathams.co.nz,,,,,
,CHC (ACL - P.S),Air Chathams,Paul Smith,021 580 224,-,Available,Air BP - 03 3586900 - 133.900,,,Paul.Smith@airchathams.co.nz,,,,,
,CHC (Cap),Capital Jet Services,Tony Mcfarlin,027 268 1970,131.700,Not Available,Air BP - 03 3586900 - 133.900,,,tony@capitaljetservices.com,,,,,
TRUE,DUD (ANZ),Air New Zealand,Gerard Rabbitt,027 277 3951,130.300,Available,Air BP - 03 486 2148 (0630-2000 unless prior arrangement),,,Gerard.Rabbitt@airnz.co.nz,!teamleadersdud@airnz.co.nz,,,,
TRUE,GIS,Air New Zealand,Nicola Harris,021 025 19213,130.900,Available,Air BP - 027 233 3769 - 133.900,,,nicola.harris1@airnz.co.nz,,,,,
TRUE,HLZ,Air New Zealand,Lynette Dallas,021 866 183,130.300,Available,Air BP - 07 843 5748 - 133.900,,07 843 0801,lynette.dallas@airnz.co.nz,,,,,
TRUE,HKK,Air New Zealand,Maata Pokai-Marks,021 026 41302,133.100,Available,Z Energy fuel bowser situated near to apron,,,Maatamarie.Pokai-Marks@airnz.co.nz>,Kim.Langridge@airnz.co.nz>,,,,
TRUE,NPE,Air New Zealand,Greg Smith,021 990 209,130.300,Available,Air BP - 027 233 3769 - 133.900,,,Greg.Smith@airnz.co.nz,!nperamplead@airnz.co.nz,!npeloadcontrol@airnz.co.nz,,,
TRUE,PMR,Air New Zealand,Adam Shin,021 990 301,130.300,Available,Air BP - 027 443 3519,,06 351 1100,adam.shinn@airnz.co.nz,!PMRAOC@airnz.co.nz,!PMRFOHLeads@airnz.co.nz,Alex.Fechney@pnairport.co.nz,Linda@pnairport.co.nz,
TRUE,PPQ,Air Chathams,Daryl Clapp,027 245 9747,133.775,Available,Z Energy Jet A1 - Swipecard,,,darryl.clapp@airchathams.co.nz,,,,,
,ZQN (Swiss),Swissport,Ilide Veikoso,021 683 574,133.850,Available,Air BP - 03 441 2740 - 133.900,,09 256 1215,info@swissport.com.au,i.veikoso@swissport.com.au,,,,
TRUE,ROT,Air New Zealand,Karen Rossi,021 905 741,131.800,Available,Air BP Jet A1 - Swipecard,,,karen.rossi@airnz.co.nz,tiffany.short@airnz.co.nz,kate.fitzgerald1@airnz.co.nz,,,
TRUE,TRG,Air New Zealand,Rebecca Young,021 031 2473,130.900,Available,"BP Jet A1 and Avgas 100, Swipecard",,,rebecca.young1@airnz.co.nz,rebecca.young1@airnz.co.nz,,,,
TRUE,TIU,Air New Zealand,Mustafa Shekhi,027 541 6634,130.900,Available,Z Energy Pump. Apron outside Terminal - ATR refueling only if parking on main stand,,,Mustafa.Shekhi@airnz.co.nz,,,,,
TRUE,WAG,Air Chathams,Jacob Lindley,022 195 2405,133.775,Available,Air BP - Swipecard,,,ryan.sheild@airchathams.co.nz,,,,,
TRUE,WLG,Air Chathams,Marc Tyrrell,021 580 225  ,133.775,Available,Air BP - 04 801 0125 - 133.900. (0400?2200/12Hr Notice BTWN 2200-0400),,,,,,,,
,WLG (Cap),Capital Jet Services,Peter Van Dyk,027 444 2741,131.700,Available,Air BP - 04 801 0125 - 133.900. (0400?2200/12Hr Notice BTWN 2200-0400),,,ops@capitaljetservices.com,,,,,
TRUE,WSZ,Westport Airport Company,Ralph Rataul,021 090 49481,119.100,Available,Air BP Swipecard. Located near terminal.,,,christian.mclay@bdc.govt.nz,,,,,
TRUE,WRE,Air New Zealand,Ken Walker,027 438 3351,130.900,Available,Air BP - Swipecard,,,Ken.Walker@airnz.co.nz,,,,,
TRUE,IVC,Air New Zealand,Holly Melrose,027 378 6041,130.300,Available,Air BP Jet A1 - 029 777 0902 - 133.900,,,holly.melrose@airnz.co.nz,,,,,
TRUE,TUO,Air New Zealand,Jeff Hamilton,027 246 7250,130.900,Available,Air BP - Swipecard gate 2 (very slow),,,jeff.hamilton@airnz.co.nz,,,,,
,KKE (Air NZ),Air New Zealand,Susan Wintraecken,021 598 986,130.900,Available on Stand 1 & 2,"Z Energy Pump, stationed on North-Western side of Apron",,021 598 986,susan.wintraecken@airnz.co.nz,serge.wintraecken@airnz.co.nz,Airports@fnhl.co.nz,Airport Company,Airports@fnhl.co.nz,
,AKL (Swiss),Swissport Executive,-,-,133.850,-,-,,,,,,,,
,WLG (AOC),Air NZ AOC,-,-,133.100,,-,,,,,,,,
,AKL (AOC),Air NZ AOC,-,-,131.000,,-,,,,,,,,
TRUE,WHK,Air Chathams,Erin Billings,021 216 4224,133.775,Available,"Z Engery, located next to aircraft stand",,,erin.billings@airchathams.co.nz,,Whakatane.Terminal@airchathams.co.nz,,,
TRUE,ZQN (Cap),Capital Jet Services,Rachael Jackson,03 441 4091,131.700,Available,"Air BP Jet A1 - 03 441 2740, 133.900 MHz (0800-1800 only)",,,ops@qcjets.com,,,,,
,CHC (ACL - P.G-H),Air Chathams,Peter Gregory-Hunt,027 314 3709,-,Available,Z Energy - 03 358 3676 - 133.900,,,Peter.Gregory-Hunt@airchathams.co.nz,,,,,check in desk counters in zone b
,PMR (Origin),Origin Air,Tania Armstrong,021 380 810,-,Available,Air BP - 027 443 3519 - 133.900,,,Tania@originair.nz,PMRManager@originair.nz,pmr@originair.nz,Alex.Fechney@pnairport.co.nz,Linda@pnairport.co.nz,
,NSN (Origin),Origin Air,Tania Armstrong,021 380 810,-,Available,Z Energy tanker - 133.675 MHz / Tel +64 3 547 3967.,,,tania@originair.nz,,,,,
,KKE (ACL),Air Chathams,,,-,Not Avaliable,"Z Energy Pump, stationed on North-Western side of Apron",,,airports@fnhl.co.nz,,,,,
,CHC (GCH),Garden City Helicopters,Kirsten Perrott,03 358 4360,133.15,Available,Z Energy - 03 358 3676 - 133.900,,,ops@gchjetops.com,enquiries@gchjetcentre.com,,,,
TRUE,NPL,Air New Zealand,Aaron Heberly,021 535 842,133.100,Available,JNP - 06 755 2250,,,Aaron.Heberley@airnz.co.nz,!NPL_AOC@airnz.co.nz,ops@nplairport.co.nz,Hunter.May@airnz.co.nz,,
TRUE,OAM,Flight Crew,Flight Crew,-,-,Not Avaliable,Air BP Jet A1 - Swipecard,,,service@waitaki.govt.nz,tania.goldingham@waitaki.govt.nz,,,,
TRUE,KKE (Merlin),Merlin,Aaron Devlin,021 258 5573,119.4,Not Avaliable,"Go fuel/Z Energy Pump, stationed on North-Western side of Apron - team can provide assistance",check if go fuel or z in next aip update** - aaron said its go fuel now but aip still jhas Z,,aaron.devlin@merlinlabs.com,andy.cardno@merlinlabs.com,robyn.koch@merlinlabs.com ,elliot.kensington@merlinlabs.com ,Airports@fnhl.co.nz,
TRUE,TEU,Airport Company,Lee MacGillivray,027 477 1280,119.100,Available,Air BP bowser (no pressure refuelling),,,lee.macgillivray@teanauairport.co.nz,admin@teanauairport.co.nz,,,,
,ROT (ACL),Air Chathams,Erin Billings,021 216 4224,-,Available,Air BP Jet A1 - Swipecard,,,erin.billings@airchathams.co.nz,,,,,
TRUE,WKA,Flight Crew,Wanaka Airport Company,-,-,Not Avaliable,Go Fuel bowser (no pressure refuelling),Request Stand Through Website,,admin@wka.co.nz,https://www.wanakaairport.com/movement-request,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
